CD_OPERADO;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;MODALIDADE;DATA_REGISTRO_ANS;DATA_DESCREDENCIAMENTO;MOTIVO_DESCREDENCIAMENTO
417190;3,50612E+12;ADPLAN ADMINISTRAÇÃO E PLANEJAMENTO DE BENEFÍCIOS LTDA;ADPLAN ADMINISTRAÇÃO DE PLANOS DE SAÚDE;Administradora de Benefícios;09/04/2010;10/09/2015;Descumprimento de disposição legal
6807;3,01105E+13;ADRESS SEGUROS E PREVIDENCIA S/A;;Seguradora;16/12/1998;22/03/2002;Adequação à Lei no. 10.185/2001
410161;3,5088E+12;ADRESS SÃO PAULO ASSISTENCIA MEDICA S/C LTDA;;Medicina de Grupo;10/12/1999;04/08/2014;Alternat. à Liquidação - Deliberação de Diretoria Colegiada
414565;2,44897E+12;ADS -A ARTE DO DENTE SAUDAVEL S/C LTDA;ADS- ASSISTENCIA ODONTOLOGICA;Odontologia de Grupo;08/04/2003;22/09/2008;Pedido de cancelamento
400394;2,55303E+12;ADSEG ADMINISTRACAO DE PLANOS DE SAÚDE LTDA;ADSEG-MED;Medicina de Grupo;11/02/1999;19/07/2002;Pedido de cancelamento
405779;2,76531E+12;ADVANCE SAÚDE LTDA;LÍDER SAUDE;Medicina de Grupo;01/07/1999;26/09/2007;Pedido de cancelamento
402451;9,64746E+13;ADVESP ASSOC DOS DEFICIENTES VISUAIS DO EST DE SP;;Autogestão;24/03/1999;12/07/2004;Pedido de cancelamento
411451;3,81556E+12;ADW SERVIÇOS DE SAUDE S/C LTDA;;Medicina de Grupo;08/06/2000;23/07/2001;Pedido de cancelamento
416452;8,85404E+12;AFINIDADE ADMINISTRADORA DE BENEFÍCIOS LTDA.;AFINIDADE;Administradora de Benefícios;28/11/2007;27/01/2014;Deliberação de Diretoria Colegiada
403598;3,95487E+11;AFONSO & VALLE S/C LTDA;DENTAL SHARING ASSISTÊNCIA ODONTOLÓGICA;Odontologia de Grupo;19/04/1999;30/06/2008;Pedido de cancelamento
406988;3,23528E+12;AFRO-MED ASSISTENCIA MEDICA SC LTDA;AFRO-MED;Medicina de Grupo;06/08/1999;17/01/2008;Descumprimento da RN n.º 100/2005
410918;2,84273E+12;AFUSIP - ASSOC. DOS FUNCIONÁRIOS DO SIST. PENITENCIÁRIO DE CAMPINAS E REGIÃO;AUGE-SAÚDE;Autogestão;24/03/2000;31/03/2008;Descumprimento da RN n.º 100/2005
351288;6,06192E+13;AGA   S A;AGA   S A;Autogestão;22/12/1998;07/12/2000;Pedido de cancelamento
339601;2,93322E+12;AGEMED SAÚDE LTDA - EM LIQUIDAÇÃO EXTRAJUDICIAL;AGEMED;Medicina de Grupo;19/01/1999;06/10/2020;Liquidação Extrajudicial
5177;6,15738E+13;AGF BRASIL SEGUROS S.A.;;Seguradora;16/12/1998;22/03/2002;Adequação à Lei no. 10.185/2001
363782;1,7343E+12;AHOL - ATENDIMENTO HOSPITALAR E ODONTOLÓGICO LTDA.;ATENDEMED;Medicina de Grupo;01/02/1999;16/12/2011;Liquidação Extrajudicial
6734;4,21513E+13;AIG BRASIL COMPANHIA DE SEGUROS;;Seguradora;16/12/1998;22/03/2002;Adequação à Lei no. 10.185/2001
6297;1,95545E+12;AIG LIFE COMPANHIA DE SEGUROS;;Seguradora;16/12/1998;22/03/2002;Adequação à Lei no. 10.185/2001
314013;4,21049E+13;AIS - ASSOCIAÇÃO PARA INVESTIMENTO SOCIAL;GOLDEN CROSS;Medicina de Grupo;06/01/1999;02/05/2002;Pedido de cancelamento
415324;6,29201E+12;AITE GESTÃO EM SAÚDE LTDA.;AITE;Administradora;21/10/2005;27/07/2009;Descumprimento da RN n.º 100/2005
415481;4,14798E+12;ALANGARDES FERREIRA MOREIRA E CIA. LTDA.;NEO ODONTO CLINICAS INTEGRADAS;Odontologia de Grupo;29/03/2006;28/04/2008;Descumprimento da RN n.º 100/2005
402419;1,46885E+13;ALBA - SERVIÇOS E PLANOS DE SAÚDE LTDA;ALBA;Medicina de Grupo;22/03/1999;13/07/2010;Descumprimento da RN n.º 100/2005
35577;7,36642E+13;ALBERT SABIN ASSISTENCIA MÉDICA LTDA.;SABIN SAÚDE;Medicina de Grupo;28/12/1998;20/09/1999;Pedido de cancelamento
418684;3,64028E+13;ALBUQUERQUE ADMINISTRAÇÃO DE BENEFICIOS S/C LTDA.;;Administradora de Benefícios;10/12/2012;11/03/2022;Alternat. à Liquidação - Deliberação de Diretoria Colegiada
33947;2,36377E+13;ALCOA ALUMINIO S/A;ALCOA ALUMÍNIO S/A;Autogestão;28/12/1998;20/09/1999;Descumprimento da Circular SUSEP no. 77/1999
30999;2,36377E+13;ALCOA ALUMINIO S/A.;ALCOA;Autogestão;31/12/1998;20/09/1999;Descumprimento da Circular SUSEP no. 77/1999
407861;6,87899E+13;ALES - APOIO LOGISTICO EQUIPAMENTOS E SERVIÇOS LTDA;ALES - ASSISTÊNCIA ODONTOLÓGICA;Odontologia de Grupo;06/09/1999;30/05/2008;Descumprimento da RN n.º 100/2005
405418;4,19816E+13;ALFA SISTEMA FACILITE SAUDE LTDA;ALFA SISTEMA FACILITE SAUDE LTDA;Administradora;25/06/1999;17/02/2004;Empresa operava com Sistema de Desconto
404381;3,09506E+12;ALFAMED ASSISTÊNCIA MÉDICA HOSPITALAR LTDA;ALFAMED;Medicina de Grupo;19/05/1999;31/05/2011;Descumprimento da RN n.º 100/2005
400939;2,19554E+12;ALFHA SERVICE LTDA;ALPHAMED SISTEMA DE SAUDE;Medicina de Grupo;23/02/1999;24/09/2009;Descumprimento da RN n.º 100/2005
416771;8,40758E+12;ALIANÇA ADMINISTRADORA DE BENEFÍCIOS DE SAUDE S.A.;ALIANÇA ADMINISTRADORA;Administradora de Benefícios;07/11/2008;13/12/2017;Por incorporação
403989;1,6474E+12;ALL DENT CONVÊNIOS ODONTOLÓGICOS LTDA.;ALL DENT;Odontologia de Grupo;28/04/1999;19/07/2002;Pedido de cancelamento
416533;8,69665E+12;ALLPREV - ASSISTÊNCIA ODONTOLÓGICA LTDA;ALLPREV;Odontologia de Grupo;30/01/2008;22/12/2011;Pedido de cancelamento
313581;8,83096E+13;ALSTOM ELEC S.A.;ALSTOM;Autogestão;31/12/1998;21/05/2002;Pedido de cancelamento
413381;3,79423E+12;ALVA CLINICA ODONTOLÓGICA LTDA;ALVA ODONTOMÉDICA;Odontologia de Grupo;21/03/2001;30/04/2003;Pedido de cancelamento
414671;9,40931E+13;AMA - ASSISTÊNCIA MÉDICA ADMINISTRADA S/S LTDA.;AMA;Administradora;10/10/2003;18/05/2010;Pedido de cancelamento
40325;3,01378E+12;AMA - ASSOCIAÇÃO METROPOLITANA ASSISTENCIAL;;Medicina de Grupo;06/04/1999;29/10/1999;Descumprimento da Circular SUSEP no. 77/1999
389862;9,40931E+13;AMA ASSISTENCIA MÉDICA ADMINISTRADA LTDA.;;Administradora;30/12/1998;27/12/2000;Pedido de cancelamento
357448;5,6902E+13;AMA ASSISTÊNCIA MÉDICA LTDA;AMA;Medicina de Grupo;21/12/1998;11/07/2008;Pedido de cancelamento
376248;9,37991E+11;AMA-ASSISTENCIA MÉDICA ALTERNATIVA LTDA;AMA;Medicina de Grupo;29/12/1998;05/07/2000;Pedido de cancelamento
311545;2,8339E+12;AMAD - ASSISTENCIA MÉDICA AMBULATORIAL E DOMICILIAR LTDA.;AMAD;Medicina de Grupo;28/12/1998;20/12/2000;Pedido de cancelamento
31102;3,63997E+13;AMANCIO SERVIÇOS POSTUMOS LTDA;PAZ ETERNA;Medicina de Grupo;22/01/1999;29/10/1999;Descumprimento da Circular SUSEP no. 77/1999
413593;1,1741E+12;AMARAL & RAYMUNDINI LTDA.;ALFADENTE ODONTOLOGIA INTEGRAL;Odontologia de Grupo;19/04/2001;08/09/2016;Deliberação de Diretoria Colegiada
416894;2,34147E+12;AMAZONAS DISTRIBUIDORA DE ENERGIA S/A;AMAZONAS ENERGIA;Autogestão;02/03/2009;16/06/2021;Pedido de cancelamento
411485;3,01279E+12;AMB SAÚDE LTDA - ME;UNI DENT;Odontologia de Grupo;13/06/2000;22/03/2010;Deliberação de Diretoria Colegiada
401978;7,74317E+11;AME - ASSISTÊNCIA MÉDICA EVANGÉLICA LTDA.;AME SAUDE;Medicina de Grupo;11/03/1999;14/12/2011;Deliberação de Diretoria Colegiada
401196;1,0321E+12;AME PLANOS DE SAÚDE LTDA;AME PLANOS DE SAÚDE;Medicina de Grupo;26/02/1999;28/09/2020;Por incorporação
409472;3,27338E+12;AMEDENT SERVIÇOS ODONTOLÓGICOS LTDA;AMEDENT;Odontologia de Grupo;29/10/1999;16/10/2001;Pedido de cancelamento
400696;6,27074E+13;AMENO SERVIÇO OPERACIONAL DE SAÚDE S/C LTDA.;;Medicina de Grupo;19/02/1999;21/05/2002;Pedido de cancelamento
407208;3,24095E+12;AMERICAN CARE SISTEMA DE SAÚDE S/C LTDA;AMERICAN CARE;Medicina de Grupo;12/08/1999;30/09/2005;Pedido de cancelamento
8737;3,3041E+13;AMERICAN HOME DO BRASIL S.A;;Seguradora;16/12/1998;19/10/2000;Pedido de cancelamento
5819;6,78654E+13;AMERICAN LIFE COMPANHIA DE SEGUROS;;Seguradora;16/12/1998;22/03/2002;Adequação à Lei no. 10.185/2001
375268;6,07232E+13;AMERICLÍNICAS ASSISTÊNCIA MÉDICA HOSPITALAR LTDA.;SAMAM;Medicina de Grupo;28/12/1998;19/09/2014;Deliberação de Diretoria Colegiada
327107;2,75689E+12;AMESP SISTEMA DE SAÚDE LTDA;AMESP;Medicina de Grupo;21/12/1998;11/07/2008;Pedido de cancelamento
409782;6,01239E+13;AMESSUL - ASSISTÊNCIA MÉDICA SUL PAULISTA S/C LTDA.;AMESSUL;Medicina de Grupo;10/11/1999;30/04/2003;Pedido de cancelamento
412431;3,53893E+12;AMESUL ASSISTENCIA MEDICA ESPECIALIZADA DO SUL LTDA;AMESUL ASSISTENCIA MEDICA ESPECIALIZADA;Medicina de Grupo;03/10/2000;29/01/2008;Descumprimento da RN n.º 100/2005
421316;2,91749E+13;AMHE MED ASSISTENCIA A SAUDE LTDA-EPP;;Medicina de Grupo;28/06/2018;16/11/2018;Descumprimento da RN n.º 100/2005
333221;7,42152E+13;AMHPLA COOPERATIVA DE ASSISTENCIA MEDICA;AMHPLA;Cooperativa Médica;18/12/1998;01/12/2017;Alternat. à Liquidação - Deliberação de Diretoria Colegiada
379573;5,48326E+13;AMHPLA PARTICIPACOES S/C LTDA;;Medicina de Grupo;24/12/1998;21/05/2002;Pedido de cancelamento
306622;5,1723E+13;AMICO SAÚDE LTDA;DIX SAUDE;Medicina de Grupo;23/12/1998;05/11/2014;Pedido de Cancelamento pós cisão e incorp. operação de plano
412384;3,99113E+12;AMIL PLANOS POR ADMINISTRAÇÃO LTDA;AMIL PLANOS;Medicina de Grupo;29/09/2000;17/12/2013;Por incorporação
302872;4,33586E+13;AMIL SAÚDE LTDA.;AMIL SAÚDE;Medicina de Grupo;21/12/1998;15/10/2012;Pedido de Cancelamento pós cisão e incorp. operação de plano
5789;4,24619E+13;AMIL SEGURADORA S/A;;Seguradora;16/12/1998;22/03/2002;Adequação à Lei no. 10.185/2001
402711;1,75141E+13;AMIPEME, ASSOCIAÇÃO MINEIRA DA MICRO PEQUENA E MÉDIA EMPRESA;AMIPEME;Autogestão;29/03/1999;21/05/2002;Pedido de cancelamento
30067;3,62506E+13;AMIS ASSOC. MÉDICA INTERN. DO SERVIDOR PUBLICO;AMIS;Medicina de Grupo;29/12/1998;20/09/1999;Descumprimento da Circular SUSEP no. 77/1999
400246;7,0111E+13;AMISAUDE ASSISTENCIA MEDICA INTEGRAL DE SAUDE LTDA;AMI SAUDE;Medicina de Grupo;09/02/1999;01/02/2007;Empresa operava com Sistema de Desconto
324949;6,52487E+13;AML- ASSISTENCIA MEDICA LEOPOLDINENSE LTDA.;AML - ASSISTÊNCIA MÉDICA LEOPOLDINENSE LTDA.;Medicina de Grupo;06/01/1999;19/07/2002;Pedido de cancelamento
401242;9,56429E+13;AMOD MARINGÁ - SERVIÇOS DE CONVÊNIO ODONTOLÓGICO S/C LTDA.;ORALMED PLANOS ODONTOLÓGICOS;Odontologia de Grupo;02/03/1999;02/07/2009;Pedido de cancelamento
357871;6,60779E+13;AMPLIMED ASSISTENCIA MÉDICA S/C LTDA.;AMPLIMED ASSISTENCIA MÉDICA;Medicina de Grupo;31/12/1998;11/03/2009;Descumprimento da RN n.º 100/2005
407666;1,8272E+13;AMS-ASSISTÊNCIA MÉDICA À SAÚDE S/C LTDA;;Medicina de Grupo;24/08/1999;01/08/2001;Pedido de cancelamento
404217;2,98062E+12;AMSCOM - CONSULTORIA EM SAÚDE LTDA.;AMS CONSULTORIA EM SAÚDE;Medicina de Grupo;14/05/1999;04/07/2000;Pedido de cancelamento
406660;8,72352E+13;ANDREAS STIHL MOTO SERRAS LTDA.;SAÚDE STIHL;Autogestão;28/07/1999;02/08/2000;Pedido de cancelamento
348091;2,02526E+12;ANESTESIOLOGIA CLINICA S/C LTDA;;Medicina de Grupo;29/12/1998;21/05/2002;Pedido de cancelamento
322466;5,58042E+13;ANIMA ASSESSORIA DE SERVIÇOS MEDICOS SS LTDA;ANIMA ;Medicina de Grupo;22/12/1998;05/03/2013;Alternat. à Liquidação - Deliberação de Diretoria Colegiada
39465;6,01848E+11;ANPARE CLINICA PEDIATRICA LTDA;MEMORIAL SAÚDE;Medicina de Grupo;28/12/1998;20/09/1999;Descumprimento da Circular SUSEP no. 77/1999
414379;4,7411E+13;ANTHARES EMPREENDIMENTOS S/A ;;Odontologia de Grupo;18/09/2002;19/04/2007;Descumprimento da RN n.º 100/2005
414042;3,55844E+12;AOF - ASSISTÊNCIA ODONTOLÓGICA FAMILIAR LTDA.;AOF - ASSISTÊNCIA ODONTOLÓGICA FAMILIAR LTDA.;Odontologia de Grupo;13/07/2001;28/11/2005;Pedido de cancelamento
417980;1,25479E+13;AON AFFINITY ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios;20/04/2011;20/01/2021;Por incorporação
304956;3,41822E+13;APAMESO ASSOCIAÇÃO PAN AMERICANA DE MEDICINA SOCIAL;WHITE CROSS;Medicina de Grupo;29/01/1999;30/10/2007;Pedido de cancelamento
410063;1,36892E+12;APO - ADM.  DE PLANOS DE SAUDE E ODONTOLOGICOS;MARFIMDENT;Odontologia de Grupo;07/12/1999;19/07/2002;Pedido de cancelamento
411124;3,51284E+12;APO - ASSISTÊNCIA PERSONALIZADA ODONTOLÓGICA LTDA.;APO- ASSISTÊNCIA PERSONALIZADA ODONTOLÓGICA;Odontologia de Grupo;25/04/2000;18/07/2019;Pedido de cancelamento
336521;1,22108E+12;APPLES - ASSISTENCIA ODONTOLOGICA LTDA.;APPLES - ODONTOLOGIA;Odontologia de Grupo;21/12/1998;03/12/2004;Pedido de cancelamento
415341;6,57055E+13;APS CONSULTORIA E ADMINISTRAÇAO DE SERVIÇOS DE SAUDE LTDA;;Administradora;26/10/2005;26/04/2010;Pedido de cancelamento
340880;2,43468E+12;AQUAFISIO CLINICA MEDICA LTDA;AQUAFISIO CLINICA MEDICA LTDA;Medicina de Grupo;06/01/1999;21/05/2002;Pedido de cancelamento
372633;4,21575E+13;ARACRUZ CELULOSE S/A;ARACRUZ CELULOSE S/A;Autogestão;28/12/1998;27/06/2001;Pedido de cancelamento
418056;1,23216E+13;ARAL ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;05/05/2011;15/10/2015;Deliberação de Diretoria Colegiada
355763;7,89057E+13;ARAUMED PRESTADORA DE SERVIÇOS MÉDICOS S/C LTDAI;ARAUMED;Medicina de Grupo;29/12/1998;29/11/2001;Pedido de cancelamento
407704;3,29857E+12;ARAÇA PLANOS DE SAÚDE LTDA.;ARAÇA CLÍNICAS SAÚDE;Medicina de Grupo;26/08/1999;08/04/2020;Alternat. à Liquidação - Deliberação de Diretoria Colegiada
400297;1,25904E+12;ARAÇAPLANO ASSISTÊNCIA DE SAÚDE S/C LTDA;ARAÇAPLANO ASSISTÊNCIA DE SAÚDE S/C LTDA;Odontologia de Grupo;09/02/1999;26/03/2004;Pedido de cancelamento
415677;4,14388E+12;ARCADA ASSISTÊNCIA ODONTOLÓGICA LTDA.;ARCADA;Odontologia de Grupo;02/06/2006;18/10/2012;Descumprimento da RN n.º 100/2005
342637;2,7252E+13;ARCELORMITTAL TUBARÃO COMERCIAL S.A;ARCELORMITTAL TUBARÃO COMERCIAL S.A;Autogestão;29/12/1998;22/04/2015;Pedido de cancelamento
406929;8,69863E+13;AROS - CONSULTORIA E PARTICIPAÇÃO LTDA;;Medicina de Grupo;04/08/1999;17/01/2008;Descumprimento da RN n.º 100/2005
417777;1,23631E+13;ASBEN ADMINISTRADORA DE BENEFÍCIOS - EIRELI;;Administradora de Benefícios;20/12/2010;15/08/2018;Pedido de cancelamento
405621;3,36526E+13;ASCB - ASSOCIAÇÀO DOS SERVIDORES CIVIS DO BRASIL;ASCB;Autogestão;01/07/1999;08/11/2010;Pedido de cancelamento
378861;3,28348E+13;ASFISE SAÚDE SERVIÇO DE ASSISTÊNCIA MÉDICO HOSPITALAR;ASFISE-SAÚDE;Autogestão;29/12/1998;19/07/2002;Pedido de cancelamento
409006;2,20452E+12;ASG ODONTOLOGIA SISTEMA DE PREVENCAO ORAL LTDA;ASG ODONTOLOGIA SISTEMA DE PREVENCAO ORAL LTDA;Odontologia de Grupo;20/10/1999;23/03/2016;Deliberação de Diretoria Colegiada
411264;3,71604E+12;ASL - ASSISTÊNCIA À SAÚDE LTDA;ASL;Medicina de Grupo;09/05/2000;10/01/2014;Por incorporação
415979;2,30616E+12;ASMED - ADMINISTRAÇÃO DE SERVIÇOS MÉDICOS LTDA;ASMED SAUDE LTDA;Administradora;03/04/2007;20/08/2010;Descumprimento da RN n.º 100/2005
409618;2,1609E+12;ASMED - ASSOCIAÇÃO MÉDICA DO ENGENHO DE DENTRO LTDA.;;Medicina de Grupo;04/11/1999;23/10/2008;Descumprimento da RN n.º 100/2005
330299;8,79941E+13;ASPECIR ASSINTENCIA MÉDICA LTDA;ASPECIR SAÚDE;Medicina de Grupo;18/12/1998;05/07/2000;Pedido de cancelamento
377228;2,90902E+12;ASPEMG SAUDE;ASPEMG SAUDE;Autogestão;28/12/1998;16/06/2006;Pedido de cancelamento
311162;3,9352E+13;ASS.DOS PART.DA FUND. ESCELSA DE SEGURIDADE SOCIAL - APAFES;APAFES - SAUDE;Autogestão;28/12/1998;07/11/2005;Pedido de cancelamento
335126;6,36441E+13;ASSESSORIA EM MEDICINA E ENGENHARIA DO TRABALHO LTDA.;ASSESMET;Medicina de Grupo;24/12/1998;04/10/2001;Pedido de cancelamento
417963;1,05302E+13;ASSIM DENTSIM LTDA;ASSIM;Odontologia de Grupo;05/04/2011;20/08/2014;Pedido de cancelamento
411710;3,51461E+12;ASSISMED - ASSISTÊNCIA E SAÚDE;ASSISMED;Medicina de Grupo;18/07/2000;17/04/2007;Ausência de operação - Deliberação de Diretoria Colegiada
310301;5,97363E+11;ASSISTANCE - ADMINISTRADORA DE BENEFÍCIOS S/S LTDA;ASSISTANCE - ADMINISTRADORA DE BENEFICIOS S/S LTDA;Administradora de Benefícios;20/01/1999;05/08/2015;Deliberação de Diretoria Colegiada
323811;5,15028E+13;ASSISTENCIA MEDICO HOSPITALAR SAO LUCAS S/A;SAUDE SAO LUCAS;Medicina de Grupo;17/12/1998;17/06/2019;Por incorporação
300055;6,11179E+11;ASSISTENCIAL MASTER LTDA;SAÚDE LAR;Medicina de Grupo;19/01/1999;31/03/2008;Descumprimento da RN n.º 100/2005
410314;4,12244E+13;ASSISTÊNCIA DE SAÚDE DOS SERVIDORES CIVIS PB LTDA;;Autogestão;17/12/1999;20/04/2001;Pedido de cancelamento
401757;1,05584E+12;ASSISTÊNCIA MÉDICA ALTO TIETÊ LTDA;TOTAL DOOR;Odontologia de Grupo;11/03/1999;20/02/2020;Ausência de operação
301973;7,37397E+13;ASSISTÊNCIA MÉDICA INTEGRADA DE GOIÁS S/C;AMIGO;Medicina de Grupo;05/01/1999;07/06/2004;Pedido de cancelamento
304662;5,26396E+13;ASSISTÊNCIA MÉDICA SÃO PAULO S/A;BLUE LIFE;Medicina de Grupo;17/12/1998;28/01/2008;Por incorporação
325767;1,73828E+11;ASSISTÊNCIA MÉDICA SÃO PAULO-SUL S/C LTDA.;BLUE LIFE;Medicina de Grupo;17/12/1998;11/07/2008;Pedido de cancelamento
415847;5,35126E+12;ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA.;UNIPLAM;Medicina de Grupo;30/11/2006;16/04/2019;Pedido de cancelamento
412546;3,16188E+12;ASSISTÊNCIA ODONTOLÓGICA PERFIL S/C LTDA.;PERFIL ODONTO;Odontologia de Grupo;25/10/2000;18/02/2004;Pedido de cancelamento
345202;1,00451E+11;ASSOC. BENEFICENTE DE AUX. MUTUO SERV. PUBLICO;ABAMSP;Autogestão;06/01/1999;19/07/2002;Pedido de cancelamento
316253;2,17278E+13;ASSOC. BENEFICENTE DOS EMPREGADOS DA SAMARCO;ABES;Autogestão;23/12/1998;21/05/2002;Pedido de cancelamento
